id;name;COUNT(at.anime_id)
4;Comedy;7899
15;Kids;6996
10;Fantasy;6066
19;Music;5322
1;Action;4872
2;Adventure;4513
24;Sci-Fi;3536
8;Drama;3122
23;School;2263
22;Romance;2249
27;Shounen;2187
13;Historical;1850
12;Hentai;1610
37;Supernatural;1546
18;Mecha;1350
51;Anthropomorphic;1323
36;Slice of Life;1252
42;Seinen;1161
5;Avant Garde;1090
7;Mystery;1015
30;Sports;827
9;Ecchi;822
20;Parody;814
50;Adult Cast;769
17;Martial Arts;751
38;Military;747
31;Super Power;740
29;Space;680
14;Horror;593
6;Mythology;556
25;Shoujo;526
35;Harem;490
62;Isekai;472
40;Psychological;463
41;Suspense;463
60;Idols (Female);395
66;Mahou Shoujo;365
56;Educational;345
11;Strategy Game;343
77;Team Sports;329
57;Gag Humor;317
58;Gore;271
52;CGDCT;259
39;Detective;254
21;Samurai;253
46;Award Winning;247
47;Gourmet;244
48;Workplace;237
82;Urban Fantasy;233
3;Racing;228
28;Boys Love;197
63;Iyashikei;187
32;Vampire;179
79;Video Game;177
61;Idols (Male);174
78;Time Travel;170
72;Reincarnation;168
43;Josei;159
70;Performing Arts;156
71;Pets;147
26;Girls Love;123
68;Organized Crime;111
69;Otaku Culture;111
64;Love Polygon;110
54;Combat Sports;103
80;Visual Arts;98
49;Erotica;86
55;Delinquents;79
73;Reverse Harem;79
76;Survival;79
53;Childcare;77
81;Crossdressing;62
59;High Stakes Game;58
67;Medical;53
75;Showbiz;51
74;Love Status Quo;47
65;Magical Sex Shift;33
83;Villainess;29
